critic,date,fresh,imdb,original_score,publication,quote,review_date,rt_id,title
James Berardinelli,2000-01-01,fresh,119349,4/4,ReelViews,"The Ice Storm is perceptive about people, relationships, and human nature, and there's not a single moment in the entire 112 minute running length that rings false.",http://www.reelviews.net/php_review_template.php?identifier=187,13634,The Ice Storm
Edward Guthmann,2000-01-01,fresh,119349,4/5,San Francisco Chronicle,[An] impressive adaptation of the Rick Moody novel.,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1997/10/17/DD31277.DTL,13634,The Ice Storm
Owen Gleiberman,2009-02-03,fresh,118842,B+,Entertainment Weekly,Smith isn't just fooling around anymore.,"http://www.ew.com/ew/article/0,,287334,00.html",13118,Chasing Amy
,2009-02-03,fresh,118842,,Hollywood Reporter,The third time out is the real charm for writer-director Kevin Smith.,,13118,Chasing Amy
Jonathan Rosenbaum,2009-02-03,fresh,118842,,Chicago Reader,"Neither PC nor crudely anti-PC, this tough and tender movie, like its characters, is prepared to take emotional risks, and the comic book milieu is deftly sketched in.",http://onfilm.chicagoreader.com/movies/capsules/15289_CHASING_AMY,13118,Chasing Amy
Todd McCarthy,2008-09-05,fresh,118842,,Variety,Amusing and appealing.,http://www.variety.com/review/VE1117432850.html?categoryid=31&cs=1,13118,Chasing Amy
David Ansen,2008-03-31,fresh,118842,,Newsweek,"Instead of cool twenty-something irony, Smith startles us with raw emotional honesty.",http://www.newsweek.com/id/109090,13118,Chasing Amy
Geoff Andrew,2006-06-24,fresh,118842,,Time Out,"The script moves beyond Smith's customary cataloguing of male adolescent ignorance and idiocy to offer sharp insights into the romanticism and pragmatism, pride and double standards that define the tangled threesome.",http://www.timeout.com/film/reviews/69105/chasing_amy.html,13118,Chasing Amy
Eric Brace,2002-01-22,rotten,118842,,Washington Post,Can a script exploring some truly deep questions about human sexuality and emotions be any shoddier and wooden? Will Miramax continue to fund one of the worst directors in the business? Don't stay tuned.,http://www.washingtonpost.com/wp-srv/style/longterm/movies/review97/chasingamybrace.htm,13118,Chasing Amy
Peter Travers,2001-05-11,fresh,118842,,Rolling Stone,"It's a rude blast of gleeful provocation, a farce about emotional pain, a drama about sexual slapstick.",,13118,Chasing Amy
Kevin Thomas,2001-02-14,fresh,118842,5/5,Los Angeles Times,Work of such fierce intelligence and emotional honesty that it blows away the competition when it comes to contemporary romantic comedy.,"http://www.calendarlive.com/movies/reviews/cl-movie970411-2,0,4302200.story",13118,Chasing Amy
Roger Ebert,2000-01-01,fresh,118842,3.5/4,Chicago Sun-Times,"While the surface of his film sparkles with sharp, ironic dialogue, deeper issues are forming, and Chasing Amy develops into a film of touching insights.",http://www.rogerebert.com/reviews/chasing-amy-1997,13118,Chasing Amy
James Berardinelli,2000-01-01,fresh,118842,3.5/4,ReelViews,"This movie is about something, and the deeper we get into it, the more we realize how emotionally on-target the script is.",http://www.reelviews.net/php_review_template.php?identifier=1382,13118,Chasing Amy
Jeff Millar,2000-01-01,fresh,118842,,Houston Chronicle,"As funny as the observational outrage humor of Clerks, but Smith is working harder.",,13118,Chasing Amy
Mary Brennan,2000-01-01,fresh,118842,,Film.com,"It's too loud, sometimes, and it's always pushy, but it's got heart.",,13118,Chasing Amy
John Hartl,2000-01-01,fresh,118842,,Film.com,The script eventually gets beyond the pop-culture jokes and starts dealing frankly and intelligently with the problems of three people who are defined by their pasts.,,13118,Chasing Amy
Janet Maslin,2000-01-01,fresh,118842,4/5,New York Times,"As Chasing Amy redefines the boy-meets-girl formula for a culture where anything goes, including perhaps another boy or girl, it thrives on Smith's dry, deadpan direction.",http://movies.nytimes.com/movie/review?res=9401E4D9153DF937A35757C0A961958260&partner=Rotten Tomatoes,13118,Chasing Amy
Sean Means,2000-01-01,fresh,118842,,Film.com,"What Smith does best in Chasing Amy is write clever, raunchy and emotionally true-to-life dialogue, particularly in the arguments between Holden and Alyssa.",,13118,Chasing Amy
Susan Stark,2000-01-01,fresh,118842,3/4,Detroit News,Often funny but ultimately wrenching,http://data.detnews.com/movies/details.hbs?myrec=293,13118,Chasing Amy
Edward Guthmann,2000-01-01,rotten,118842,2/4,San Francisco Chronicle,"Lacks insight and finesse, and feels like a boldfaced Rorschach for Smith's own hang-ups.",http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1997/04/11/DD18269.DTL,13118,Chasing Amy
Charles Taylor,2000-01-01,fresh,118842,,Salon.com,It could prove to be as bad a date movie for some couples as it might be a real turn-on for others. Anyone with set ideas about sex roles or orientations is likely to get steamed.,http://www.salon.com/april97/amy970411.html,13118,Chasing Amy
Joe Baltake,2000-01-01,fresh,118842,,Sacramento Bee,In-your-face with an attitude that's as tactless as it is honest.,http://www.movieclub.com/reviews/archives/97chasing/chasing.html,13118,Chasing Amy
Susan Wloszczyna,2000-01-01,fresh,119164,3.5/4,USA Today,It's a familiar show-biz routine but one that's spangled with happy surprises and sharp acting.,,13301,The Full Monty
Emanuel Levy,2007-01-29,fresh,119280,B+,Variety,"Centering on a lesser-known chapter in the reign of Queen Victoria, this richly detailed drama about her intimate relationship with her servant that scandalized the country is extremely well-acted; Judi Dench deserves an Oscar nomination",http://www.variety.com/review/VE1117329735.html?categoryid=31&cs=1,10621,Mrs. Brown
,2006-02-09,fresh,119280,,Time Out,"Dench is magnificent as Victoria, a toy-sized, black-suited, dough girl of despair, a woman slowly recovering her wits and her expectations.",http://www.timeout.com/film/reviews/73346/mrs_brown.html,10621,Mrs. Brown
Janet Maslin,2000-01-01,fresh,119280,3.5/5,New York Times,''Mrs. Brown'' transcends its period setting not only with a keenly observed struggle between love and duty but also with the kind of controversy that envelops the Queen and her servant.,http://movies.nytimes.com/movie/review?res=9B0DEEDC103AF93BA25754C0A961958260&partner=Rotten Tomatoes,10621,Mrs. Brown
,1997-07-18,rotten,119280,C+,Entertainment Weekly,"Even as the film teases us with the underlying ''sensuality'' of the relationship, it fails to portray it as a convincing human bond. Mrs. Brown is stately yet depressed, like Victoria.","http://www.ew.com/ew/article/0,,288779,00.html",10621,Mrs. Brown
Mick LaSalle,2002-06-18,rotten,119345,2/4,San Francisco Chronicle,...competent but uninspired...,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1998/03/27/DD54321.DTL,14363,I Know What You Did Last Summer
Richard Harrington,2002-01-22,fresh,119345,4/5,Washington Post,"A smart, sharply drawn genre film with a moral center and a solid cast.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/review97/iknowwhatyoudidlastsummerharr.htm,14363,I Know What You Did Last Summer
Kevin Thomas,2001-02-14,fresh,119345,4/5,Los Angeles Times,"...fun, energetic and fairly scary.","http://www.calendarlive.com/movies/reviews/cl-movie971111-33,0,7848039.story",14363,I Know What You Did Last Summer
Susan Stark,2000-01-01,rotten,119345,1/4,Detroit News,Remember all those terrible slasher flicks from the '80s? This could be one of them. It certainly ain't no Scream.,http://data.detnews.com/movies/details.hbs?myrec=428,14363,I Know What You Did Last Summer
Lawrence Van Gelder,2000-01-01,fresh,119345,3.5/5,New York Times,"Like Williamson, Jim Gillespie, the director, respects the conventions of the genre.",http://movies.nytimes.com/movie/review?res=9F0CE3D7123FF934A25753C1A961958260&partner=Rotten Tomatoes,14363,I Know What You Did Last Summer
James Berardinelli,2000-01-01,rotten,119345,2/4,ReelViews,The characters aren't interesting enough for us to be scared for them.,http://www.reelviews.net/movies/i/i_know.html,14363,I Know What You Did Last Summer
Joe Baltake,2000-01-01,fresh,119345,3/4,Sacramento Bee,"Teasing and taut, I Know What You Did Last Summer is a teen horror flick with a different kind of kick to it.",http://www.movieclub.com/reviews/archives/97lastsummer/lastsummer.html,14363,I Know What You Did Last Summer
Jeff Millar,2000-01-01,rotten,119345,2.5/5,Houston Chronicle,"The payoff is less effective. It involves several teen-scream modules, such as the $1.98 Startle Effect; the Hand on the Shoulder; and the Is He Dead Yet? gambit.",,14363,I Know What You Did Last Summer
Mike Clark,2000-01-01,rotten,119345,2.5/4,USA Today,"Predictably, the derivative title here is a jumping-off point for another derivative slasher-revenge pic.",,14363,I Know What You Did Last Summer
Roger Ebert,2000-01-01,rotten,119345,1/4,Chicago Sun-Times,The best shot in this film is the first one. Not a good sign.,http://www.rogerebert.com/reviews/i-know-what-you-did-last-summer-1997,14363,I Know What You Did Last Summer
Nigel Floyd,2006-06-24,rotten,118971,,Time Out,"Regrettably, an overblown finale and redundant trick ending undercut the mild subversiveness of what's gone before.",http://www.timeout.com/film/reviews/65386/the_devils_advocate.html,22536,The Devil's Advocate
Rick Groen,2002-07-12,rotten,118971,2.5/4,Globe and Mail,"[Hackford] seems stuck in a private limbo, unable to decide whether he's making a special-effects flick or a pop-philosophical tract.",http://www.globeandmail.com/servlet/ArticleNews/movie/MOVIEREVIEWS/19971017/TADEVI,22536,The Devil's Advocate
Mick LaSalle,2002-06-18,fresh,118971,4/4,San Francisco Chronicle,The movie's greatest strength is that it becomes more complex and rewarding as it goes along.,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1997/10/17/DD27126.DTL,22536,The Devil's Advocate
Kenneth Turan,2001-02-14,rotten,118971,,Los Angeles Times,"Although it's nice for a film to be ambitious, there is such a thing as overreaching.","http://www.calendarlive.com/movies/reviews/cl-movie971111-37,0,110194.story",22536,The Devil's Advocate
Roger Ebert,2000-01-01,rotten,118971,2.5/4,Chicago Sun-Times,"The movie never fully engaged me; my mind raced ahead of the plot, and the John Grisham stuff clashed with the Exorcist stuff.",http://www.rogerebert.com/reviews/devils-advocate-1997,22536,The Devil's Advocate
Mike Clark,2000-01-01,rotten,118971,2.5/4,USA Today,"As the movie approaches 2 1/4 hours, it begins feeling like eternal damnation.",,22536,The Devil's Advocate
Charles Taylor,2000-01-01,rotten,118971,,Salon.com,"The picture starts off slick and amusing, gets convoluted, draggy and strange round about the midway point, and ends up just plain ludicrous.",http://www.salon.com/ent/movies/1997/10/17devil.html,22536,The Devil's Advocate
James Berardinelli,2000-01-01,fresh,118971,3/4,ReelViews,"A highly enjoyable motion picture that's part character study, part supernatural thriller, and part morality play.",http://www.reelviews.net/php_review_template.php?identifier=1957,22536,The Devil's Advocate
Janet Maslin,2000-01-01,fresh,118971,,New York Times,Lurid advance ads for Devil's Advocate make it look ridiculous. It's not.,http://movies.nytimes.com/movie/review?res=9C00E5D8123FF934A25753C1A961958260&partner=Rotten Tomatoes,22536,The Devil's Advocate
Mike Clark,2000-01-01,rotten,119906,1/4,USA Today,A medical-underworld thriller that teaches the star of TV's The X-Files something about Z-grade theatrical pics.,,15477,Playing God
Richard Corliss,2008-11-21,fresh,119324,,TIME Magazine,"Bujold has the frazzled hauteur of an aging, neglected star, and Spelling is nicely glazed, studiously artless. But the film is keyed to Posey's performance: perfectly brittle, faultlessly false.","http://www.time.com/time/magazine/article/0,9171,987232,00.html",14202,The House of Yes
Dennis Harvey,2008-11-21,fresh,119324,,Variety,"[Waters] manages to open up the text while maintaining its perilous mix of arch wit, pathos and suspense.",http://www.variety.com/review/VE1117432631.html?categoryid=31&cs=1,14202,The House of Yes
Derek Adams,2006-02-09,fresh,119324,,Time Out,"There's something quite lethal about Parker Posey in pearls, and for that inspiration director Mark Waters deserves our gratitude.",http://www.timeout.com/film/reviews/72332/the_house_of_yes.html,14202,The House of Yes
Liam Lacey,2002-07-12,fresh,119324,3/4,Globe and Mail,"This is a definitive Posey performance: wide-eyed, smiling and ultrafeminine, but plastic and cold as a store mannequin.",http://www.globeandmail.com/servlet/ArticleNews/movie/MOVIEREVIEWS/19980206/TAYESS,14202,The House of Yes
Stephen Holden,2000-01-01,rotten,119324,,New York Times,There are many gaping holes between the funny moments.,http://movies.nytimes.com/movie/review?res=990DE1DE153CF933A25753C1A961958260&partner=Rotten Tomatoes,14202,The House of Yes
James Berardinelli,2000-01-01,fresh,119324,3/4,ReelViews,"Not every chance taken by Mark Waters works, but enough are successful to produce some memorable motion picture moments.",http://www.reelviews.net/movies/h/house_yes.html,14202,The House of Yes
Roger Ebert,2000-01-01,rotten,119324,2.5/4,Chicago Sun-Times,"When the film was over I was not particularly pleased that I had seen it; it was mostly behavior and contrivance. While it was running, I was not bored.",http://www.rogerebert.com/reviews/house-of-yes-1997,14202,The House of Yes
Edward Guthmann,2000-01-01,rotten,119324,2/4,San Francisco Chronicle,"Presumably it worked far better onstage, where MacLeod's absurdist tale and self-conscious, Beckett-like wordplay probably found a friendlier context.",http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1997/10/17/DD48289.DTL,14202,The House of Yes
Mike Clark,2000-01-01,rotten,120481,2.5/4,USA Today,"There's isn't much tension here, and, if anything, the film is stolen by Maggie Smith and Judith Ivey as Finney's sisters.",,11378,Washington Square
Jay Boyar,2013-06-12,fresh,120303,3/5,Orlando Sentinel,The Hungarian angle gives the film a little distinctiveness.,http://articles.orlandosentinel.com/1997-11-21/entertainment/9711191406_1_brad-renfro-eszterhas-guy-ferland,12259,Telling Lies In America
Peter Stack,2000-01-01,fresh,120539,3/4,San Francisco Chronicle,"This is an intimate, lyrical yet incendiary film, and it will please fans of both Young and Jarmusch.",http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1997/10/31/DD64941.DTL,770820594,Year of the Horse: Neil Young & Crazy Horse Live
Roger Ebert,2000-01-01,rotten,120539,1/4,Chicago Sun-Times,"Plays like This Is Spinal Tap made from anti-matter. Both films are about aging rockers, but Year of the Horse removes the humor and energy.",http://www.rogerebert.com/reviews/year-of-the-horse-1997,770820594,Year of the Horse: Neil Young & Crazy Horse Live
James Berardinelli,2000-01-01,rotten,120539,0/4,ReelViews,This is quite possibly the worst documentary I have ever had the displeasure of watching on the big screen.,http://www.reelviews.net/movies/y/year_horse.html,770820594,Year of the Horse: Neil Young & Crazy Horse Live
Tom Keogh,2000-01-01,fresh,120539,,Film.com,Both a quirky little movie and a monument to one of rock 'n' roll's greatest noisemakers.,,770820594,Year of the Horse: Neil Young & Crazy Horse Live
Joe Baltake,2000-01-01,fresh,120539,3/4,Sacramento Bee,"Much like the subject himself, Jarmusch's film is decidedly not smooth and mellow, but it has the kick of a mule.",http://www.movieclub.com/reviews/archives/97horse/horse.html,770820594,Year of the Horse: Neil Young & Crazy Horse Live
John Hartl,2000-01-01,fresh,120539,,Film.com,"If you've ever liked the 52-year-old Young's songs, you'll probably be hooked early on.",,770820594,Year of the Horse: Neil Young & Crazy Horse Live
Lisa Alspector,2007-06-05,rotten,119177,,Chicago Reader,"I didn't care enough about Hawke's character to ignore a big problem in the story's logic: if this future has such incredible biotechnology, why can't Law just get his damaged body parts fixed?",http://onfilm.chicagoreader.com/movies/capsules/15837_GATTACA,10356,Gattaca
Emanuel Levy,2006-07-05,fresh,119177,3/4,Variety,"One of first Hollywood films about the effects of genetic engineering on human conduct, Andrew Niccol's directing debut is an intelligent and timely sci-fi that, despite some illogical plot contrivances, is emotionally engaging almost up to the end.",http://www.variety.com/review/VE1117906416.html?categoryid=31&cs=1,10356,Gattaca
,2006-06-24,rotten,119177,,Time Out,"Chilly, elegant, and a little bloodless.",http://www.timeout.com/film/reviews/70060/gattaca.html,10356,Gattaca
Rick Groen,2002-04-12,rotten,119177,2.5/4,Globe and Mail,Designer babies rule dystopia in stylish SF thriller filled with recycled plot devices.,http://www.globeandmail.com/servlet/ArticleNews/movie/MOVIEREVIEWS/19971024/TAGATT,10356,Gattaca
Jack Mathews,2001-02-14,rotten,119177,2.5/5,Los Angeles Times,It's far too serious to be taken seriously.,"http://www.calendarlive.com/movies/reviews/cl-movie971111-26,0,7913577.story",10356,Gattaca
Janet Maslin,2000-01-01,fresh,119177,3.5/5,New York Times,An impressively fine-tuned first feature from Andrew Niccol.,,10356,Gattaca
Roger Ebert,2000-01-01,fresh,119177,3.5/4,Chicago Sun-Times,"At a time when we read about cloned sheep and tomatoes crossed with fish, the science in Gattaca is theoretically possible.",http://www.rogerebert.com/reviews/gattaca-1997,10356,Gattaca
Susan Wloszczyna,2000-01-01,fresh,119177,3/4,USA Today,"If smart sci-fi is your vial of tea, Gattaca won't disappoint.",,10356,Gattaca
Mick LaSalle,2000-01-01,rotten,119177,2/4,San Francisco Chronicle,"The hero's struggle in Gattaca would have been more compelling were he an average fellow going up against geniuses, and not a healthy fellow going up against somewhat healthier specimens.",http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1997/10/24/DD14694.DTL,10356,Gattaca
James Berardinelli,2000-01-01,fresh,119177,3.5/4,ReelViews,"Gattaca doesn't just function as a science fiction thriller, but as both a cautionary tale about the dangers of letting scientific ability outstrip ethics and as a morality play about the irrationality of bigotry.",http://www.reelviews.net/php_review_template.php?identifier=363,10356,Gattaca
Scott Rosenberg,2000-01-01,rotten,119177,,Salon.com,"When they sculpted the DNA for the perfect race in Gattaca, somebody left out the gene for self-knowledge.",http://www.salon.com/ent/movies/1997/10/24gattaca.html,10356,Gattaca
Susan Wloszczyna,2000-01-01,rotten,119095,2/4,USA Today,"Flits, falters and falls flat.",,10529,Fairy Tale - A True Story
Andrew Sarris,2005-01-27,rotten,293508,,New York Observer,My own reaction to the current version fashioned by Mr. Schumacher is one of pure stupefaction.,http://www.observer.com/pages/movies.asp,10017,The Phantom of the Opera
Anthony Lane,2005-01-15,rotten,293508,,New Yorker,The plot is impressively free of anything that does not smell of unpasteurized melodrama.,,10017,The Phantom of the Opera
Stephanie Zacharek,2004-12-27,rotten,293508,,Salon.com,Takes everything that's wrong with Broadway and puts it on the big screen in a gaudy splat.,http://www.salon.com/ent/movies/review/2004/12/22/phantom,10017,The Phantom of the Opera
Richard Roeper,2004-12-27,rotten,293508,,Ebert & Roeper,"This guy's not the Phantom of the Opera, he's the Fashionably Scarred Stud of the Opera and that just doesn't work.",http://tvplex.go.com/buenavista/ebertandroeper/mp3/041227-phantom_of_the_opera.mp3,10017,The Phantom of the Opera
Carrie Rickey,2004-12-23,rotten,293508,1.5/4,Philadelphia Inquirer,Joel Schumacher's film adaptation of Lloyd Webber's The Phantom of the Opera combines fingernails-on- blackboard audio agony with bamboo- under- fingernails physical torture.,,10017,The Phantom of the Opera
Owen Gleiberman,2004-12-23,rotten,293508,C+,Entertainment Weekly,"The movie version of Lloyd Webber's swooning 1986 horror operetta has been directed, by Joel Schumacher, as if Schumacher were the world's hardest-working upholstery salesman.","http://www.ew.com/ew/article/0,,1017544,00.html",10017,The Phantom of the Opera
Philip Kennicott,2004-12-22,fresh,293508,,Washington Post,The movie version of Lloyd Webber's smash hit does to the music what the music did to the words and story: It distracts the mind and cajoles the eyes to the point that one doesn't really care that everything the ears are hearing is pure nonsense.,http://www.washingtonpost.com/wp-dyn/articles/A18107-2004Dec21.html,10017,The Phantom of the Opera
Claudia Puig,2004-12-22,fresh,293508,3/4,USA Today,"For those whose primary experience with musicals is on the screen, this melodramatic tale with the familiar soundtrack should hold substantial appeal.",http://www.usatoday.com/life/movies/reviews/2004-12-21-phantom_x.htm,10017,The Phantom of the Opera
Peter Howell,2004-12-22,rotten,293508,1/5,Toronto Star,"The film overflows with overkill, from the amped-up orchestra that constantly threatens to submerge the singers to the ornate silliness of each and every scene involving the Phantom.",http://WWW.TheStar.COM/NASApp/cs/ContentServer?pagename=thestar/Layout/Article_Type1&c=Article&cid=1103713592172&call_pageid=1022183557980&col=1022183560753,10017,The Phantom of the Opera
Moira MacDonald,2004-12-22,fresh,293508,2.5/4,Seattle Times,"It's a shamelessly over-the-top wallow in romantic obsession, and a thoroughly enjoyable one.",http://seattletimes.nwsource.com/html/artsentertainment/2002126396_phantom22.html,10017,The Phantom of the Opera
Ruthe Stein,2004-12-22,rotten,293508,2.5/4,San Francisco Chronicle,The movie misfires as often as it connects.,http://sfgate.com/cgi-bin/article.cgi?f=/c/a/2004/12/22/DDGMFAF03D1.DTL&type=movies,10017,The Phantom of the Opera
Joe Baltake,2004-12-22,fresh,293508,3/4,Sacramento Bee,"Given the overall weakness of the material, director Joel Schumacher works beyond the call of duty to pull us into his musical fable.",http://movies.sacticket.com/cgi-bin/Movies/review?story_id=04phantomoftheopera_baltake,10017,The Phantom of the Opera
Roger Moore,2004-12-22,rotten,293508,2/5,Orlando Sentinel,It was the '80s. You really had to be there. Preferably with low expectations.,"http://www.orlandosentinel.com/entertainment/movies/orl-livphantom_mvrv122204dec22,0,3469122.story?coll=orl-calmoviestop",10017,The Phantom of the Opera
Stephen Whitty,2004-12-22,rotten,293508,1.5/4,Newark Star-Ledger,"If you want something more from musicals than a single syrupy hit, though -- and have fond memories of the Phantom as our most romantic of monsters -- then seek out the old Lon Chaney silent instead, and put on your own darn music.",http://www.nj.com/movies/ledger/index.ssf?/base/entertainment-1/1103696511122440.xml,10017,The Phantom of the Opera
Lou Lumenick,2004-12-22,rotten,293508,1/4,New York Post,"The falling chandelier, the signature moment of Phantom, has been moved from the end of the first act to the climax of the movie -- by which point non-devotees may need to be roused from their sleep by their companions.",,10017,The Phantom of the Opera
Sid Smith,2004-12-22,rotten,293508,2/4,Chicago Tribune,"Andrew Lloyd Webber's kitschy theatrical spectacle is now a kitschy theatrical movie, a mix of melodrama, horror, romance, mystery and melody heaped together into a cinematic smorgasbord, one heavy in starch.","http://metromix.chicagotribune.com/movies/mmx-041221-movies-review-ss-phantom,0,7638179.story",10017,The Phantom of the Opera
Jack Mathews,2004-12-22,rotten,293508,2/4,New York Daily News,Where's Homeland Security when you need it?,http://www.nydailynews.com/entertainment/movies/moviereviews/story/264533p-226299c.html,10017,The Phantom of the Opera
Geoff Pevere,2003-10-24,rotten,335563,2/5,Toronto Star,Rarely has so much of so little consequence been so closely examined.,http://www.thestar.ca/NASApp/cs/ContentServer?pagename=thestar/Layout/Article_Type1&c=Article&cid=1066991591949&call_page=TS_Movie_Reviews&call_pageid=1013689625070&call_pagepath=Entertainment/Movies,13376,Wonderland
Jay Boyar,2003-10-24,fresh,335563,3/5,Orlando Sentinel,Sometimes Wonderland does make you wonder why you're wasting your time with these losers. But there's also a lot here that stays with you.,"http://www.orlandosentinel.com/entertainment/movies/orl-calwonderland24102403oct24,0,4648629.story?coll=orl-calmoviestop",13376,Wonderland
Liam Lacey,2003-10-24,rotten,335563,2/4,Globe and Mail,"The main interest here is the acting, which is, by turns, entertaining or just entertainingly bad, with lots of grungy seriousness and Method-trained twitching, but also some moments of real gusto.",http://www.theglobeandmail.com/servlet/ArticleNews/TPStory/LAC/20031024/WONDER24/TPEntertainment/Film,13376,Wonderland
Michael O'Sullivan,2003-10-17,fresh,335563,,Washington Post,A film whose effects are as hard to wash away as blood.,,13376,Wonderland
Stephen Hunter,2003-10-17,rotten,335563,,Washington Post,"Overblown, overheated, overdirected, overacted, overlong and over here, in the local bijoux.",,13376,Wonderland
Moira MacDonald,2003-10-17,rotten,335563,1.5/4,Seattle Times,Not quite the second coming of Boogie Nights.,,13376,Wonderland
Walter V. Addiego,2003-10-17,rotten,335563,1/4,San Francisco Chronicle,"If for some reason you are fascinated by the Wonderland murders, look up the Rolling Stone article of 1989 that brought national attention to the gruesome case. Otherwise, your local cineplex has lots of choices with more redeeming social value.",http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/2003/10/17/DD298249.DTL#wonder,13376,Wonderland
Joe Baltake,2003-10-17,rotten,335563,2.5/4,Sacramento Bee,A movie that manages to make both sex and violence dull.,http://www.sacticket.com/cgi-bin/Movies/review?story_id=03wonderland_baltake,13376,Wonderland
Rene Rodriguez,2003-10-17,rotten,335563,2/4,Miami Herald,Wonderland never gives us a single reason to care about any of these people.,http://ae.miami.com/entertainment/ui/miami/movie.html?id=116460&reviewId=13437,13376,Wonderland
Tom Long,2003-10-17,fresh,335563,B+,Detroit News,Wonderland may not be the feel-good movie of the year; in fact it feels pretty lousy most of the time. But it offers a dark story well-told with some truly fine performances.,,13376,Wonderland
Terry Lawson,2003-10-17,fresh,335563,,Detroit Free Press,"An unsettling, sordid, overly stylized and intensely well-done drama.",http://ae.freep.com/entertainment/ui/michigan/movie.html?id=116460&reviewId=13427,13376,Wonderland
Lisa Kennedy,2003-10-17,rotten,335563,1.5/4,Denver Post,"For all Wonderland's kinetic energy, the mind wanders.","http://www.denverpost.com/Stories/0,1413,36~82~1700725,00.html",13376,Wonderland
Roger Ebert,2003-10-17,rotten,335563,2/4,Chicago Sun-Times,"True crime procedurals can have a certain fascination, but not when they're jumbled glimpses of what might or might not have happened involving a lot of empty people whose main claim to fame is that they're dead.",http://www.rogerebert.com/reviews/wonderland-2003,13376,Wonderland
Ty Burr,2003-10-17,rotten,335563,2/4,Boston Globe,Wonderland skips lightly along the sewers of human depravity as if the trip alone was worth the telling.,http://www.boston.com/movies/display?display=movie&id=2809,13376,Wonderland
Bill Muller,2003-10-16,rotten,335563,2/5,Arizona Republic,"A dry, forensic account, more suitable for a true-crime show on late-night cable.",,13376,Wonderland
Eric Harrison,2003-10-16,rotten,335563,C-,Houston Chronicle,Muddled and largely unentertaining.,http://www.chron.com/cs/CDA/moviestory.hts/ae/movies/reviews/2161806,13376,Wonderland
Philip Wuntch,2003-10-16,rotten,335563,C,Dallas Morning News,"Wonderland is in your face. Any deeper connections, like those to heart and mind, get lost in the splash.",http://www.guidelive.com/profile/329853/?cslink=cs_movies_2_5,13376,Wonderland
Bruce Newman,2003-10-16,rotten,335563,0/4,San Jose Mercury News,"The film reveals no great truths about human nature or drug abuse, the dialogue is witless, the acting unconstrained.",http://ae.bayarea.com/entertainment/ui/bayarea/movie.html?id=116460&reviewId=13393,13376,Wonderland
Carrie Rickey,2003-10-16,rotten,335563,1/4,Philadelphia Inquirer,"Although Wonderland isn't much of a movie, it is a parade of exceptional acting.",,13376,Wonderland
Colin Covert,2003-10-16,rotten,335563,1/4,Minneapolis Star Tribune,Wonderland aspires to the grisly poetry of a James Ellroy novella but only achieves the ugliness of an 8-mm loop.,http://www.startribune.com/stories/1553/4157622.html,13376,Wonderland
Susan Wloszczyna,2000-01-01,rotten,119535,1.5/4,USA Today,"Flippantly hip without any solid laughs, Life strains to be the flick more offbeat.",,13837,A Life Less Ordinary
,2006-06-24,rotten,174856,,Time Out,Facile and unpersuasive.,http://www.timeout.com/film/72424.html,13539,The Hurricane
Peter Rainer,2004-08-07,rotten,174856,,New York Magazine,"The movie's dogged humorlessness, and its sixties-style cant, don't do justice to all the political crosscurrents in this story.",http://www.newyorkmetro.com/nymetro/movies/reviews/1769/,13539,The Hurricane
Liam Lacey,2003-04-25,fresh,174856,3/4,Globe and Mail,A reminder that there's still a lot to be said for the good old-fashioned inspirational Hollywood movie.,http://www.globeandmail.com/servlet/ArticleNews/movie/MOVIEREVIEWS/19991229/TAHURR,13539,The Hurricane
Mick LaSalle,2002-06-18,fresh,174856,3/4,San Francisco Chronicle,Give director Norman Jewison credit for two things: 1) He made the movie; 2) He let Washington run away with it.,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/2000/01/07/DD91282.DTL,13539,The Hurricane
Jay Carr,2000-01-01,fresh,174856,3/4,Boston Globe,"Its celebration of a spirit that refused to go down for the count is the important thing here, and Washington gets it shiningly right.",,13539,The Hurricane
Michael Wilmington,2000-01-01,fresh,174856,,Chicago Tribune,The Hurricane has real mythic power.,,13539,The Hurricane
Kenneth Turan,2000-01-01,fresh,174856,3.5/5,Los Angeles Times,"The last great performance of 1999, and arguably the best of the lot as well.","http://calendarlive.com/top/1,1419,L-LATimes-Movies-X!ArticleDetail-3450,00.html",13539,The Hurricane
Roger Ebert,2000-01-01,fresh,174856,3.5/4,At the Movies,"One of Denzel Washington's great performances, on a par with his work in Malcolm X.",http://bventertainment.go.com/tv/buenavista/atm/reviews.html?sec=1&subsec=2468,13539,The Hurricane
Lou Lumenick,2000-01-01,fresh,174856,3.5/4,New York Post,"An expertly crafted, deeply moving film.",,13539,The Hurricane
Peter Brunette,2000-01-01,fresh,174856,6/10,Film.com,Occasionally riveting.,,13539,The Hurricane
